MaterialNumber,Actual,Predicted,RMSE_SARIMA,WindowSize(Months),Accuracy_SARIMA
ABCDEFGH,[676],121.24117129316924,418.59064453343876,3,33.333912529161616
ABCDEFGH,[163],57.66574517270453,418.59064453343876,3,33.333912529161616
ABCDEFGH,[163],488.2461049257979,325.2461049257979,1,-99.53748768453859
ABCDEFGHI,[384],-2.2204460492637193e-16,362.19285838716735,6,0.0
ABCDEFGHI,[265],-2.244233787037505e-19,362.19285838716735,6,0.0
ABCDEFGHI,[288],-4.509458969497836e-19,362.19285838716735,6,0.0
ABCDEFGHI,[518],-9.126548429243566e-22,362.19285838716735,6,0.0
ABCDEFGHI,[443],-1.240145592477445e-21,362.19285838716735,6,0.0
ABCDEFGHI,[148],-4.975423994914328e-22,362.19285838716735,6,0.0
ABCDEFGHI,[518],187.3678639030003,241.53804838729482,3,49.48599280898986
ABCDEFGHI,[443],187.34647937408795,241.53804838729482,3,49.48599280898986
ABCDEFGHI,[148],129.41090567722728,241.53804838729482,3,49.48599280898986
ABCDEFGHI,[148],375.84479985418227,227.84479985418227,1,-53.94918909066369
ABCDEFGHIJ,[633],1.1102230246229243e-16,462.517206887124,6,0.0
ABCDEFGHIJ,[337],9.230846634309698e-20,462.517206887124,6,0.0
ABCDEFGHIJ,[339],1.852220424472331e-19,462.517206887124,6,0.0
ABCDEFGHIJ,[511],3.076939514848523e-22,462.517206887124,6,0.0
ABCDEFGHIJ,[572],2.2914646567597518e-22,462.517206887124,6,0.0
ABCDEFGHIJ,[257],-1.0612142710199729e-22,462.517206887124,6,0.0
ABCDEFGHIJ,[511],213.15486394472913,294.3371753620376,3,43.69715392679115
ABCDEFGHIJ,[572],180.02143528817044,294.3371753620376,3,43.69715392679115
ABCDEFGHIJ,[257],124.5454865435689,294.3371753620376,3,43.69715392679115
ABCDEFGHIJ,[257],485.4199511136833,228.41995111368328,1,11.12064159000652
ABCDEFGHIJK,[726],1211.6081215149009,347.72199137688875,6,17.16031918174711
ABCDEFGHIJK,[373],813.9479334769944,347.72199137688875,6,17.16031918174711
ABCDEFGHIJK,[262],713.2700381419772,347.72199137688875,6,17.16031918174711
ABCDEFGHIJK,[530],585.2685737449794,347.72199137688875,6,17.16031918174711
ABCDEFGHIJK,[751],462.42493687807615,347.72199137688875,6,17.16031918174711
ABCDEFGHIJK,[289],361.3763938000775,347.72199137688875,6,17.16031918174711
ABCDEFGHIJK,[530],424.3815472078039,209.7317124785745,3,63.582653957110445
ABCDEFGHIJK,[751],404.6860640133292,209.7317124785745,3,63.582653957110445
ABCDEFGHIJK,[289],318.5562823912119,209.7317124785745,3,63.582653957110445
ABCDEFGHIJK,[289],442.31968130766097,153.31968130766097,1,46.94820715997891
ABCDEFGHIJKL,[180],141.74260962024738,51.89409009803302,6,23.350481719012773
ABCDEFGHIJKL,[128],146.76700429304287,51.89409009803302,6,23.350481719012773
ABCDEFGHIJKL,[71],152.97744848609366,51.89409009803302,6,23.350481719012773
ABCDEFGHIJKL,[133],101.37050582661256,51.89409009803302,6,23.350481719012773
ABCDEFGHIJKL,[156],80.48251446950923,51.89409009803302,6,23.350481719012773
ABCDEFGHIJKL,[30],60.30731876973545,51.89409009803302,6,23.350481719012773
ABCDEFGHIJKL,[133],70.44146451508028,62.913241858851265,3,23.827307489057215
ABCDEFGHIJKL,[156],71.03173446180517,62.913241858851265,3,23.827307489057215
ABCDEFGHIJKL,[30],57.22226098221453,62.913241858851265,3,23.827307489057215
ABCDEFGHIJKL,[30],93.58634452893153,63.586344528931534,1,-111.95448176310512
ABCDEFGHIJKLM,[229],93.74273645250713,112.01167216292652,6,32.6555245838199
ABCDEFGHIJKLM,[200],381.1842504085213,112.01167216292652,6,32.6555245838199
ABCDEFGHIJKLM,[221],257.7521274397711,112.01167216292652,6,32.6555245838199
ABCDEFGHIJKLM,[340],282.9447989247894,112.01167216292652,6,32.6555245838199
ABCDEFGHIJKLM,[189],71.26771073523562,112.01167216292652,6,32.6555245838199
ABCDEFGHIJKLM,[78],153.43554526449614,112.01167216292652,6,32.6555245838199
ABCDEFGHIJKLM,[340],195.9222756306383,91.08877744686217,3,44.8187045271061
ABCDEFGHIJKLM,[189],125.97473263666383,91.08877744686217,3,44.8187045271061
ABCDEFGHIJKLM,[78],90.68546982252494,91.08877744686217,3,44.8187045271061
ABCDEFGHIJKLM,[78],134.61788758253746,56.61788758253746,1,27.412964637772486
ABCDEFGHIJKLMN,[224],219.57114641474064,143.10485244983923,6,41.43266403905395
ABCDEFGHIJKLMN,[284],505.79619177543304,143.10485244983923,6,41.43266403905395
ABCDEFGHIJKLMN,[375],280.2648077704136,143.10485244983923,6,41.43266403905395
ABCDEFGHIJKLMN,[347],344.9660349353616,143.10485244983923,6,41.43266403905395
ABCDEFGHIJKLMN,[305],69.37123919612633,143.10485244983923,6,41.43266403905395
ABCDEFGHIJKLMN,[113],208.71322144483105,143.10485244983923,6,41.43266403905395
ABCDEFGHIJKLMN,[347],282.6784086463399,123.00215576171144,3,49.0776132010712
ABCDEFGHIJKLMN,[305],105.27217012488032,123.00215576171144,3,49.0776132010712
ABCDEFGHIJKLMN,[113],149.87977528663885,123.00215576171144,3,49.0776132010712
ABCDEFGHIJKLMN,[113],163.88315083554443,50.88315083554443,1,54.97066297739431
ABCDEFGHIJKLMNO,[3544],1185.4287344744257,1804.4771832140716,6,63.87729535835312
ABCDEFGHIJKLMNO,[2788],3344.330787839808,1804.4771832140716,6,63.87729535835312
ABCDEFGHIJKLMNO,[2131],2515.8190338535715,1804.4771832140716,6,63.87729535835312
ABCDEFGHIJKLMNO,[2671],4363.259419257426,1804.4771832140716,6,63.87729535835312
ABCDEFGHIJKLMNO,[5132],1876.1399136205587,1804.4771832140716,6,63.87729535835312
ABCDEFGHIJKLMNO,[2781],2552.937430910837,1804.4771832140716,6,63.87729535835312
ABCDEFGHIJKLMNO,[2671],3941.9980643524123,1770.7879300445702,3,68.94803446993511
ABCDEFGHIJKLMNO,[5132],2386.7940907759935,1770.7879300445702,3,68.94803446993511
ABCDEFGHIJKLMNO,[2781],2275.551569446875,1770.7879300445702,3,68.94803446993511
ABCDEFGHIJKLMNO,[2781],2494.201306553682,286.7986934463179,1,89.68720987248048
