,ADF_Statistic_Original,p_value_Original,Stationary_Original,ADF_Statistic_1st_Diff,p_value_1st_Diff,Stationary_1st_Diff,ADF_Statistic_2nd_Diff,p_value_2nd_Diff,Stationary_2nd_Diff,"ARIMA(1, 1, 1)_RMSE","ARIMA(1, 0, 1)_RMSE","ARIMA(2, 1, 1)_RMSE","ARIMA(2, 2, 1)_RMSE","ARIMA(2, 2, 2)_RMSE","ARIMA(2, 0, 1)_RMSE",Best_ARIMA,Best_ARIMA_RMSE,"SARIMAX((0, 0, 0), (0, 0, 1, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 0, 12))_RMSE","SARIMAX((0, 0, 0), (1, 0, 0, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 0, 12))_RMSE",Best_SARIMAX,Best_SARIMAX_RMSE,Best_Model,Best_Model_RMSE,May_2024_Forecast
sku11,-0.19154054932896275,0.9395224780883169,No,-4.44075956411701,0.0002512269514080826,Yes,-4.782607185069119,5.870930537179275e-05,Yes,237.45047459140596,368.22355204510626,227.1831791345185,1401.0057138686766,272.0472049500972,353.21417396491427,"(2, 1, 1)",227.1831791345185,228.99772355329142,1228.27412792639,221.81993268183794,384.3782503670763,340.6974055910868,650.952648509303,"((0, 0, 0), (1, 0, 0, 12))",221.81993268183794,SARIMAX,221.81993268183794,-23.525845881291453
sku12,-2.0985017333952833,0.24511748868530253,No,-13.279001550507942,7.760694790531628e-25,Yes,-4.7167576789833365,7.826000510893602e-05,Yes,2258.33140997787,2278.9569795042953,2278.7803380829787,2925.578289884835,2476.735921555253,2279.3313228244015,"(1, 1, 1)",2258.33140997787,2179.566711277327,3723.2672703778157,2135.765720827754,1660.668713347964,1733.1376814979355,1466.6983725831067,"((0, 0, 0), (1, 1, 0, 12))",1466.6983725831067,SARIMAX,1466.6983725831067,-617.8498407103868
sku13,0.17544528857991304,0.9708502754529962,No,-3.1672050446964652,0.021963203654492072,Yes,-2.952820849939329,0.03954145355533626,Yes,2157.051644338497,2227.3153593371753,2167.5432367878184,2031.7126613489947,2258.10059405156,2263.496237367141,"(2, 2, 1)",2031.7126613489947,1794.2993727112923,2766.448987420516,1702.5516674367777,1564.526160461985,1506.0819497267344,1656.4447827904805,"((0, 0, 0), (1, 1, 1, 12))",1506.0819497267344,SARIMAX,1506.0819497267344,1180.9128303372795
sku14,-1.8103100118605948,0.3753552059095662,No,-3.73826405629409,0.0036060188174228667,Yes,-4.058674672272227,0.0011325925657847007,Yes,2789.0871211682606,2680.2502823297814,2730.6808886158005,2879.7213733839826,2775.739640444189,2585.9607390953606,"(2, 0, 1)",2585.9607390953606,3463.42403360743,2868.762683341606,3509.9041671779455,2461.3088023477408,4137.890389654593,4736.464040024603,"((0, 0, 0), (0, 1, 1, 12))",2461.3088023477408,SARIMAX,2461.3088023477408,-205.3498779410844
sku15,-2.1686792486588278,0.21780878189198988,No,-9.82322936190448,5.2699732748260866e-17,Yes,-6.331081936092428,2.905291195543222e-08,Yes,617.7153279274621,593.7792297443876,603.1121191863145,677.1014266590882,610.0737657667278,592.4185821519322,"(2, 0, 1)",592.4185821519322,1351.4012191125398,1288.1240235318958,524.2821146671417,469.1049903341854,432.96957624666817,919.7616602131517,"((0, 0, 0), (1, 1, 1, 12))",432.96957624666817,SARIMAX,432.96957624666817,-507.80131715950006
sku16,-1.6656499150333715,0.4488918661433996,No,-5.220550052041413,7.981303294781988e-06,Yes,-4.440247738577531,0.0002517559757087096,Yes,3996.5891758450853,3973.519845665281,4001.089800904215,3954.5813281540463,4021.356056058619,3992.7194668704774,"(2, 2, 1)",3954.5813281540463,6065.206932869321,2427.8760951361037,6288.7995152784915,3298.069851313226,8579.280937719925,5773.679923263042,"((0, 0, 0), (0, 1, 0, 12))",2427.8760951361037,SARIMAX,2427.8760951361037,716.0000000000002
sku17,-0.5665076960591242,0.8783717644503333,No,-4.8370760510681645,4.6166681619384895e-05,Yes,-4.436754016599737,0.0002553954404080207,Yes,2887.260215522267,3161.7794667910657,2903.182377097933,2971.2550261186975,3382.4625030540246,3155.45331659687,"(1, 1, 1)",2887.260215522267,3190.5496322175627,4182.236283776101,3106.2494118700015,2890.5272213723993,3141.723948899697,3128.2767865671317,"((0, 0, 0), (0, 1, 1, 12))",2890.5272213723993,ARIMA,2887.260215522267,-280.29506792452594
sku18,-5.072331969036684,1.5930581006429686e-05,Yes,-2.2768226831960425,0.1795521003879772,No,-5.58778592071884,1.3505506499626024e-06,Yes,1268.3333781360207,1304.298417233007,1273.1953700025392,1447.8226545942775,1477.3987372713339,1345.0990988801475,"(1, 1, 1)",1268.3333781360207,2096.167095626397,1538.011811831539,1385.4574449225645,1176.6564175506512,1537.9399710945872,1436.5164818700673,"((0, 0, 0), (0, 1, 1, 12))",1176.6564175506512,SARIMAX,1176.6564175506512,1592.0723282164254
sku19,-2.0832910731181307,0.2512862042453304,No,-9.801669745527393,5.972358721640619e-17,Yes,-5.261668824552584,6.570805168739663e-06,Yes,253.58482679268792,256.23889124497515,253.65980012831454,258.0188413024604,455.5730426095459,255.51125542881982,"(1, 1, 1)",253.58482679268792,257.74545312924755,986.5801200781077,245.1984167032139,1705.5491012167356,1866.0430419780262,1603.6347806465897,"((0, 0, 0), (1, 0, 0, 12))",245.1984167032139,SARIMAX,245.1984167032139,-39.880152807364595
sku20,-0.304580551636099,0.9248530789816478,No,-4.679649592465376,9.188079298146472e-05,Yes,-4.870930293441595,3.971458810876774e-05,Yes,4054.5377994845257,4029.9402396180335,4087.1661199879354,4160.410200420913,4112.349564150504,4075.8175528069314,"(1, 0, 1)",4029.9402396180335,3632.561886511737,2050.6992303439656,3513.2023217177675,3250.293235315843,3076.537025991111,2566.948554416482,"((0, 0, 0), (0, 1, 0, 12))",2050.6992303439656,SARIMAX,2050.6992303439656,-86.0
